cusip,name,type,issuedate,maturitydate,originalface
36225BPT9,781334,SP,20011001,20310815,239505008
36225BPV4,781336,SP,20011001,20311015,300005000
36225BPW2,781337,SP,20011001,20311015,100005000
36225BPX0,781338,SP,20011001,20311015,400005000
36225BPY8,781339,SP,20011001,20310915,1057390000
36225BPZ5,781340,SP,20011001,20311015,1500005000
36225BP28,781341,SP,20011001,20311015,300005000
36225BP36,781342,SP,20011001,20311015,2230005000
36225BP44,781343,SP,20011001,20310915,1020005000
36225BP51,781344,SP,20011001,20311015,19214248
36225BP69,781345,SP,20011001,20311015,300005000
36225BP77,781346,SP,20011001,20311015,300005000
36225BP93,781348,SP,20011101,20270715,40583168
36225BQB7,781350,SP,20011101,20251215,43655785
36225BQE1,781353,SP,20011101,20311115,100005000
36225BQF8,781354,SP,20011101,20311115,100005000
36225BQG6,781355,SP,20011101,20310515,24926448
36225BQH4,781356,SP,20011101,20291215,46032700
36225BQJ0,781357,SP,20011101,20251015,65842218
36225BQK7,781358,SP,20011101,20310415,106683148
36225BQL5,781359,SP,20011101,20251215,63298592
36225BQM3,781360,SP,20011101,20301115,90099240
36225BQN1,781361,SP,20011101,20251215,112214339
36225BQQ4,781363,SP,20011101,20251215,38453656
36225BQR2,781364,SP,20011101,20301215,131504193
36225BQT8,781366,SP,20011101,20291115,21938123
36225BQ43,781375,SP,20011101,20311115,100005000
36225BQ68,781377,SP,20011201,20290915,102005000
36225BQ92,781380,SP,20011201,20311215,500005000
36225BRA8,781381,SP,20011201,20311215,1000005000
36225BRG5,781387,SP,20020101,20320120,100019000
36225BRH3,781388,SP,20020101,20320120,300045000
36225BRJ9,781389,SP,20020101,20320115,215005000
36225BRK6,781390,SP,20020101,20320115,500005000
36225BRN0,781393,SP,20020201,20320115,100764008
36225BRT7,781398,SP,20020201,20291215,27560000
36225BRU4,781399,SP,20020201,20310620,500005000
36225BRW0,781401,SP,20020201,20320215,500005000
36225BRX8,781402,SP,20020201,20320215,1000005000
36225BR26,781405,SP,20020301,20320115,100005000
36225BR83,781411,SP,20020301,20320320,150005000
36225BSA7,781413,SP,20020301,20311115,20005000
36225BSB5,781414,SP,20020301,20320315,100005000
36225BSC3,781415,SP,20020301,20320315,10005000
36225BSD1,781416,SP,20020301,20320315,150005000
36225BSE9,781417,SP,20020301,20320315,50005000
36225BSF6,781418,SP,20020301,20320215,1100009000
36225BSG4,781419,SP,20020301,20320315,475005000
36225BSH2,781420,SP,20020301,20320315,1000005000
36225BSJ8,781421,SP,20020401,20320315,125005000
36225BSK5,781422,SP,20020401,20320315,500005000
36225BSM1,781424,SP,20020401,20311215,200066746
36225BSN9,781425,SP,20020401,20320320,100005000
36225BSP4,781426,SP,20020401,20311120,300005000
36225BSQ2,781427,SP,20020401,20320420,250030000
36225BSR0,781428,SP,20020401,20311015,150005000
36225BSS8,781429,SP,20020401,20320315,1500005000
36225BST6,781430,SP,20020401,20310915,135005000
36225BSU3,781431,SP,20020401,20320415,2800005000
36225BSV1,781432,SP,20020401,20320420,1381834348
36225BSX7,781434,SP,20020501,20320520,140409266
36225BS41,781439,SP,20020501,20310915,53099710
36225BS90,781444,SP,20020501,20301215,100005000
36225BTA6,781445,SP,20020501,20311115,200005000
36225BTB4,781446,SP,20020501,20320215,171258478
36225BTC2,781447,SP,20020501,20320315,500005000
36225BTD0,781448,SP,20020501,20320515,900005000
36225BTE8,781449,SP,20020501,20320515,1000005000
36225BTK4,781454,SP,20020601,20280515,79731560
36225BTM0,781456,SP,20020601,20320215,200005000
36225BTN8,781457,SP,20020601,20281120,24502010
36225BTP3,781458,SP,20020601,20320620,500005000
36225BTQ1,781459,SP,20020601,20320615,500005000
36225BTR9,781460,SP,20020601,20320615,500005000
36225BTT5,781462,SP,20020701,20290615,51005000
36225BTU2,781463,SP,20020701,20291215,43244261
36225BTW8,781465,SP,20020701,20320715,100005000
36225BTX6,781466,SP,20020701,20320715,254519889
36225BTY4,781467,SP,20020701,20320315,1000005000
36225BTZ1,781468,SP,20020701,20320715,1400005000
36225BT24,781469,SP,20020701,20320415,1000005000
36225BT32,781470,SP,20020701,20300815,15005000
36225BUB2,781478,SP,20020801,20320315,2000005000
36225BUC0,781479,SP,20020801,20320815,500005000
36225BUD8,781480,SP,20020801,20320815,100005000
36225BUE6,781481,SP,20020801,20320115,200005000
36225BUF3,781482,SP,20020801,20320815,622144284
36225BUG1,781483,SP,20020801,20320815,1500005000
36225BUH9,781484,SP,20020801,20320815,500005000
36225BUJ5,781485,SP,20020801,20320815,1005005000
36225BUK2,781486,SP,20020801,20320815,250005000
36225BUL0,781487,SP,20020801,20320815,100005000
36225BUM8,781488,SP,20020801,20291015,67919000
36225BUN6,781489,SP,20020901,20320815,109054808
36225BUT3,781494,SP,20020901,20310820,57005000
36225BUU0,781495,SP,20020901,20320920,500005000
36225BUV8,781496,SP,20020901,20320915,1500005000
36225BUW6,781497,SP,20020901,20320915,450005000
36225BUX4,781498,SP,20020901,20320715,225005000
36225BUY2,781499,SP,20020901,20320915,200005000
36225BUZ9,781500,SP,20020901,20320815,100005000
36225BU22,781501,SP,20020901,20320915,100005000
36225BU30,781502,SP,20021001,20320515,61741621
36225BU63,781505,SP,20021001,20321015,470005000
36225BVB1,781510,SP,20021001,20320815,30005000
36225BVD7,781512,SP,20021001,20321015,280005000
36225BVE5,781513,SP,20021001,20321015,80005000
36225BVF2,781514,SP,20021001,20320815,620005000
36225BVH8,781516,SP,20021101,20320915,1210005000
36225BVJ4,781517,SP,20021101,20321115,400005000
36225BVK1,781518,SP,20021101,20320415,100005000
36225BVL9,781519,SP,20021101,20320815,30005000
36225BVM7,781520,SP,20021101,20320815,30005000
36225BVN5,781521,SP,20021101,20321120,123568610
36225BVQ8,781523,SP,20021101,20320615,218005000
36225BVR6,781524,SP,20021101,20320815,30005000
