cmo,cusip,faceincmo,date
2024-144-2A,3618FUT45, 3809844.00,2024-09-01
2024-144-2A,3618FVVM0, 3215518.00,2024-09-01
2024-144-2A,3618G4H60, 627793.00,2024-09-01
2024-144-2A,3618G7FB4, 906525.00,2024-09-01
2024-144-2A,3618GBKA1, 572214.00,2024-09-01
2024-144-2A,3618GEJR0, 937069.00,2024-09-01
2024-144-2A,3618GJA72, 1498930.00,2024-09-01
2024-144-2A,3618GMZE3, 2326884.00,2024-09-01
2024-144-2A,3618GNCQ9, 553875.00,2024-09-01
2024-144-2A,3618GNCR7, 1046105.00,2024-09-01
2024-144-2A,3618GPT78, 608248.00,2024-09-01
2024-144-2A,3618GQG70, 1203085.00,2024-09-01
