cusip,name,indicator,type,issuedate,maturitydate,originalface,istbaelig
3618HYX32,DD6098,C,SF,20241001,20541020,1700466,False
3618HYX40,DD6099,C,SF,20241001,20541020,2467858,False
3618HYX57,DD6100,C,SF,20241001,20541020,3163785,False
3618HYX65,DD6101,C,SF,20241001,20541020,3797887,False
3618HYX73,DD6102,C,SF,20241001,20541020,1208820,False
3618HYYA5,DD6105,C,SF,20241001,20541020,45515468,False
3618HYYB3,DD6106,C,SF,20241001,20541020,12157531,False
3618HYYC1,DD6107,C,SF,20241001,20541020,8182813,False
3618HYYD9,DD6108,C,SF,20241001,20541020,8386268,False
3618HYYE7,DD6109,C,SF,20241001,20541020,2774415,False
3618HYYF4,DD6110,C,SF,20241001,20541020,1480805,False
3618HYYG2,DD6111,C,SF,20241001,20541020,6629304,False
3618HYYH0,DD6112,C,SF,20241001,20541020,1075286,False
3618HYYJ6,DD6113,C,SF,20241001,20541020,1794665,False
3618HYYK3,DD6114,C,SF,20241001,20541020,2822349,False
3618J0VS1,DD6925,C,SF,20241001,20541020,17183000,False
3618J0YY5,DD7027,C,SF,20241001,20541020,1302187,False
3618J0YZ2,DD7028,C,SF,20241001,20541020,4671055,False
3618J0Y25,DD7029,C,SF,20241001,20541020,1708998,False
3618J0Y33,DD7030,C,SF,20241001,20541020,2407620,False
3618J1F32,DD7386,C,SF,20241001,20541020,1104776,False
3618J1F40,DD7387,C,SF,20241001,20540920,1401840,False
3618J1F57,DD7388,C,SF,20241001,20541020,1326257,False
3618J1F65,DD7389,C,SF,20241001,20540920,1012972,False
3618J1F73,DD7390,C,SF,20241001,20541020,1028198,False
3618J1F81,DD7391,C,SF,20241001,20541020,1019757,False
3618J2UF6,DD8682,C,SF,20241001,20541020,1536187,False
3618J2ZG9,DD8843,C,SF,20241001,20541020,1121702,False
3618J2ZH7,DD8844,C,SF,20241001,20541020,1945537,False
3618J2ZJ3,DD8845,C,SF,20241001,20541020,1440335,False
3618J2ZK0,DD8846,C,SF,20241001,20541020,1525984,False
3618J3EH8,DD9136,C,SF,20241001,20541020,1664170,False
3618J3N62,DD9413,C,SF,20241001,20541020,1112000,False
3618J3P94,DD9448,C,SF,20241001,20541020,1040906,False
3618J3QF9,DD9454,C,SF,20241001,20541020,1020906,False
3618J3QJ1,DD9457,C,SF,20241001,20541020,1107024,False
3618J3QL6,DD9459,C,SF,20241001,20541020,1116801,False
3618J5G24,DE0217,C,ET,20241001,20640920,953666,False
3618J5LD4,DE0324,C,SF,20241001,20540820,4587879,False
3618J5LF9,DE0326,C,SF,20241001,20540820,1546483,False
3618J5LJ1,DE0329,C,SF,20241001,20540920,1006841,False
3618J5LK8,DE0330,C,SF,20241001,20540720,1063297,False
3618J5R55,DE0508,C,SF,20241001,20541020,1756605,False
3618J5R63,DE0509,C,SF,20241001,20541020,4022867,False
3618J5R71,DE0510,C,SF,20241001,20541020,8959351,False
3618J5R89,DE0511,C,SF,20241001,20541020,1780542,False
3618J5R97,DE0512,C,SF,20241001,20541020,2899637,False
3618J6BT8,DE0950,C,SF,20241001,20541020,1104081,False
3618J6BU5,DE0951,C,SF,20241001,20541020,1655813,False
3618J6CY6,DE0987,C,SF,20241001,20541020,1339984,False
3618J6EJ7,DE1037,C,SF,20241001,20541020,1160382,False
3618J6EK4,DE1038,C,SF,20241001,20541020,2553339,False
3618J6EL2,DE1039,C,SF,20241001,20541020,1706222,False
3618J6EU2,DE1047,C,SF,20241001,20541020,18312842,False
3618J6EV0,DE1048,C,SF,20241001,20541020,17043578,False
3618J6EW8,DE1049,C,SF,20241001,20541020,12948654,False
3618J6FC1,DE1063,C,SF,20241001,20541020,6830936,False
3618J6F64,DE1089,C,SF,20241001,20541020,14236437,False
3618J6F72,DE1090,C,SF,20241001,20541020,4523716,False
3618J6F80,DE1091,C,SF,20241001,20541020,11239952,False
3618J63H3,DE1700,C,SF,20241001,20541020,1191687,False
3618J63J9,DE1701,C,SF,20241001,20541020,1228066,False
3618J7D31,DE1922,C,ET,20241001,20640920,3183273,False
3618J7D49,DE1923,C,ET,20241001,20640920,1480163,False
3618J7D56,DE1924,C,ET,20241001,20640820,3183383,False
3618J7D64,DE1925,C,ET,20241001,20640820,2582611,False
3618J7D72,DE1926,C,ET,20241001,20640820,3813475,False
3618J7D98,DE1928,C,ET,20241001,20640820,873011,False
3618J7EA4,DE1929,C,ET,20241001,20640920,3014681,False
3618J7EC0,DE1931,C,ET,20241001,20640320,212343,False
3618J7ED8,DE1932,C,ET,20241001,20640820,116803,False
3618J7FJ4,DE1969,C,SF,20241001,20541020,6997377,False
3618J7F70,DE1990,C,SF,20241001,20541020,1682603,False
3618J7F88,DE1991,C,SF,20241001,20541020,1389642,False
3618J7F96,DE1992,C,SF,20241001,20541020,1046923,False
3618J7GA2,DE1993,C,SF,20241001,20541020,1140335,False
3618J7GB0,DE1994,C,SF,20241001,20541020,12159489,False
3618J7GC8,DE1995,C,SF,20241001,20541020,9979395,False
3618J7GD6,DE1996,C,SF,20241001,20541020,10090505,False
3618J7GE4,DE1997,C,SF,20241001,20541020,8130590,False
3618J7GF1,DE1998,C,SF,20241001,20541020,10068110,False
