3618G8VV0, CY8728C, 1390540.00, 1A, GNR 2023-183
3618FYYW9, CY0725C, 5277851.00, 1A, GNR 2023-183
3618B0JF1, CS6562C, 1285920.00, 1A, GNR 2023-183
3618G1B96, CY1864C, 1102544.00, 1A, GNR 2023-183
3618FMW64, CX1569C, 1091711.00, 1A, GNR 2023-183
3618FDCX7, CW4586C, 1234091.00, 1A, GNR 2023-183
3618FML41, CX1247C, 1571357.00, 1A, GNR 2023-183
3618BVBM6, CV0044C, 1325953.00, 1A, GNR 2023-183
3618F9WP1, CW1554C, 2412235.00, 1A, GNR 2023-183
3618FCDB6, CW3698C, 1719417.00, 1A, GNR 2023-183
3618GCBK7, CZ0942C, 1116931.00, 1A, GNR 2023-183
3618GD2K5, CZ2578C, 4022586.00, 1A, GNR 2023-183
3618GD5C0, CZ2643C, 6946077.00, 1A, GNR 2023-183
3618FVGG0, CX8299C, 2258254.00, 1A, GNR 2023-183
3618G8VL2, CY8719C, 2904608.00, 1A, GNR 2023-183
3618F9VJ6, CW1517C, 1778148.00, 1A, GNR 2023-183
3618BXRM5, CV2292C, 2437108.00, 1A, GNR 2023-183
3618GC4N9, CZ1729C, 1042507.00, 1A, GNR 2023-183
3618FMZY0, CX1659C, 1723140.00, 1A, GNR 2023-183
3618FR2N9, CX5281C, 2090505.00, 1A, GNR 2023-183
3618FVE98, CX8260C, 2960165.00, 1A, GNR 2023-183
3618BF3M0, CT9804C, 1178558.00, 1A, GNR 2023-183
3618G2KV5, CY3008C, 1022637.00, 1A, GNR 2023-183
3618FSZR2, CX6152C, 1312568.00, 1A, GNR 2023-183
3618G8VB4, CY8710C, 2893903.00, 1A, GNR 2023-183
3618BHL87, CU0351C, 3557445.00, 1A, GNR 2023-183
3618G6K20, CY6613C, 2725756.00, 1A, GNR 2023-183
3618BYCZ0, CV2788C, 1378195.00, 1A, GNR 2023-183
3618FWBA6, CX9033C, 4938907.00, 1A, GNR 2023-183
3618G2ZA5, CY3437C, 1048881.00, 1A, GNR 2023-183
3618GD4Y3, CZ2639C, 5102937.00, 1A, GNR 2023-183
3618FUX81, CX7903C, 1429294.00, 1A, GNR 2023-183
3618F44X6, CV8038C, 3179075.00, 1A, GNR 2023-183
3618FCCZ4, CW3688C, 1626784.00, 1A, GNR 2023-183
