"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-05-01","'3140HGPK7'","MBS","UMBS MORTPASS 3.5% 03/33","15yr",,,,,"6426.47",,,,,,""
"2024-05-01","'31371N7M1'","MBS","UMBS MORTPASS 6% 11/28","Other",,,,,"6393.96",,,,,,""
"2024-05-01","'3132A8DA4'","MBS","UMBS MORTPASS 3% 07/27","15yr",,,,,"6392.43",,,,,,""
"2024-05-01","'3131Y0R53'","MBS","UMBS MORTPASS 3.5% 03/48","30yr",,,,,"6387.24",,,,,,""
"2024-05-01","'36210B3X1'","MBS","GNMA I 4.5% 03/39","30yr",,,,,"6386.27",,,,,,""
"2024-05-01","'31371L4L0'","MBS","UMBS MORTPASS 5% 02/25","Other",,,,,"6384.99",,,,,,""
"2024-05-01","'3138X6GP4'","MBS","UMBS MORTPASS 3.5% 03/29","15yr",,,,,"6380.13",,,,,,""
"2024-05-01","'3131X5LX8'","MBS","UMBS MORTPASS 4.5% 02/25","15yr",,,,,"6364.98",,,,,,""
"2024-05-01","'36296Q3Q0'","MBS","GNMA I 5.5% 07/39","30yr",,,,,"6321.54",,,,,,""
"2024-05-01","'36291UNH4'","MBS","GNMA I 4.5% 03/39","30yr",,,,,"6319.34",,,,,,""
"2024-05-01","'31418BZP4'","MBS","UMBS MORTPASS 3.5% 03/46","30yr",,,,,"6319.09",,,,,,""
"2024-05-01","'3620A54C0'","MBS","GNMA I MORTPASS 4% 09/41","30yr",,,,,"6313.96",,,,,,""
"2024-05-01","'3138YDP52'","MBS","UMBS MORTPASS 3.5% 01/45","30yr",,,,,"6298.64",,,,,,""
"2024-05-01","'31418MQS4'","MBS","UMBS MORTPASS 4.5% 10/35","30yr",,,,,"6294.75",,,,,,""
