3618F65C6, CV9843C, 21832555.00, 1A, GNR 2023-101
3618F66Y7, CV9887C, 7369000.00, 1A, GNR 2023-101
3618F7B29, CV9957C, 18817831.00, 1A, GNR 2023-101
3618F7B94, CV9964C, 18451518.00, 1A, GNR 2023-101
3618F7C77, CV9994C, 7371297.00, 1A, GNR 2023-101
3618F8AS1, CW0017C, 40131229.00, 1A, GNR 2023-101
3618F8AY8, CW0023C, 18913910.00, 1A, GNR 2023-101
3618A3B49, CQ0959C, 1742182.00, 1B, GNR 2023-101
3618ACQ35, CQ9474C, 3723570.00, 1B, GNR 2023-101
3618AGS75, CR2342C, 1054587.00, 1B, GNR 2023-101
3618AP2R9, CR8884C, 4886458.00, 1B, GNR 2023-101
3618AS3A9, CS0793C, 2052842.00, 1B, GNR 2023-101
3618AS3S0, CS0809C, 2434268.00, 1B, GNR 2023-101
3618ATDJ7, CS1005C, 3726349.00, 1B, GNR 2023-101
3618ATFN6, CS1073C, 3896419.00, 1B, GNR 2023-101
3618ATJ51, CS1184C, 2265904.00, 1B, GNR 2023-101
3618ATMB4, CS1254C, 2608333.00, 1B, GNR 2023-101
3618ATS69, CS1441C, 1058235.00, 1B, GNR 2023-101
3618B5XZ0, CT0696C, 1977609.00, 1B, GNR 2023-101
3618B5ZU9, CT0755C, 1685046.00, 1B, GNR 2023-101
3618B52Z4, CT0792C, 2091731.00, 1B, GNR 2023-101
3618BJZ54, CU1664C, 3813622.00, 1B, GNR 2023-101
3618BJ3L4, CU1703C, 2073059.00, 1B, GNR 2023-101
3618BJ3T7, CU1710C, 2447715.00, 1B, GNR 2023-101
3618BJ3U4, CU1711C, 1670966.00, 1B, GNR 2023-101
3618BJ4W9, CU1737C, 1631529.00, 1B, GNR 2023-101
3618BVBK0, CV0042C, 2250136.00, 1B, GNR 2023-101
3618BVCP8, CV0078C, 6074575.00, 1B, GNR 2023-101
36179XX92, MA8804M, 35739364.00, 2, GNR 2023-101
36179X2P0, MA8882M, 90350108.00, 2, GNR 2023-101
36179X5L6, MA8951M, 17150295.00, 2, GNR 2023-101
3618BQFM3, CU6472C, 4472078.00, 3, GNR 2023-101
3618BQKH8, CU6596C, 15038923.00, 3, GNR 2023-101
3618F1NX1, CV4906C, 4640861.00, 3, GNR 2023-101
3618F1NZ6, CV4908C, 2754596.00, 3, GNR 2023-101
3618F22V6, CV6188C, 10550860.00, 3, GNR 2023-101
3618F56L7, CV8975C, 1085714.00, 3, GNR 2023-101
3618F65D4, CV9844C, 12716439.00, 3, GNR 2023-101
3618F67G5, CV9895C, 8046448.00, 3, GNR 2023-101
3618F7AX2, CV9922C, 11860882.00, 3, GNR 2023-101
3618F8AA0, CW0001C, 15018216.00, 3, GNR 2023-101
38382MN70, GN-2021-001-KY, 50000000.00, 4, GNR 2023-101
3618BQJA5, CU6557C, 2172098.00, 5, GNR 2023-101
3618BQMF0, CU6658C, 8546428.00, 5, GNR 2023-101
3618BQMJ2, CU6661C, 5874994.00, 5, GNR 2023-101
3618BS6E7, CU8969C, 4818481.00, 5, GNR 2023-101
3618BYQZ5, CV3172C, 442973.00, 5, GNR 2023-101
3618BY3A5, CV3493C, 10029401.00, 5, GNR 2023-101
3618F1MC8, CV4855C, 772817.00, 5, GNR 2023-101
3618F1MD6, CV4856C, 975031.00, 5, GNR 2023-101
3618F1MW4, CV4873C, 1224053.00, 5, GNR 2023-101
3618F63S3, CV9809C, 3503927.00, 5, GNR 2023-101
3618F65C6, CV9843C, 12873954.00, 5, GNR 2023-101
3618F66Y7, CV9887C, 4345262.00, 5, GNR 2023-101
3618F7B29, CV9957C, 11096269.00, 5, GNR 2023-101
3618F7B94, CV9964C, 10880266.00, 5, GNR 2023-101
3618F7C77, CV9994C, 4346617.00, 5, GNR 2023-101
3618F8AS1, CW0017C, 23664094.00, 5, GNR 2023-101
3618F8AY8, CW0023C, 11152923.00, 5, GNR 2023-101
3618F84G4, CW0823C, 40000.00, T, GNR 2023-101
3618AVM52, CS3080C, 171412.00, 1, GNR 2023-102
3618BXJJ1, CV2065C, 6667178.00, 1, GNR 2023-102
3618BXJK8, CV2066C, 2343566.00, 1, GNR 2023-102
3618BYZW2, CV3457C, 1427983.00, 1, GNR 2023-102
3618F1KZ9, CV4812C, 6060860.00, 1, GNR 2023-102
3618F1K22, CV4813C, 3354276.00, 1, GNR 2023-102
36179X2M7, MA8880M, 38434732.00, 2, GNR 2023-102
36179YAT1, MA9018M, 61745072.00, 2, GNR 2023-102
36179YAT1, MA9018M, 105000000.00, 3, GNR 2023-102
36179X5J1, MA8949M, 150344503.00, 4, GNR 2023-102
36179YAT1, MA9018M, 129373205.00, 5, GNR 2023-102
36179YAT1, MA9018M, 106064329.00, 6, GNR 2023-102
38379NLP5, GN-2015-083, 20450620, 999, GNR 2023-102
38379QMX0, GN-2015-131, 20450920, 999, GNR 2023-102
38379FRF8, GN-2015-162, 20451120, 999, GNR 2023-102
38379X2R0, GN-2016-103, 20460820, 999, GNR 2023-102
38376UGD5, GN-2017-066, 20470320, 999, GNR 2023-102
38380HHH8, GN-2017-139, 20470920, 999, GNR 2023-102
38380VWQ0, GN-2018-037, 20480320, 999, GNR 2023-102
38381YNY6, GN-2019-111, 20490820, 999, GNR 2023-102
38382AWL5, GN-2019-145, 20490820, 999, GNR 2023-102
38378A5Q0, GN-2012-008, 20410520, 999, GNR 2023-102
38375CFQ8, GN-2012-050, 20420420, 999, GNR 2023-102
38378FR44, GN-2013-024, 20421120, 999, GNR 2023-102
38379LY34, GN-2015-079, 20450520, 999, GNR 2023-102
38379FUX5, GN-2015-161, 20440920, 999, GNR 2023-102
38379FW96, GN-2015-168, 20451120, 999, GNR 2023-102
38382DBZ1, GN-2020-007, 20500120, 999, GNR 2023-102
38384BMX6, GN-2023-089, 20530620, 999, GNR 2023-102
38384AHR7, GN-2023-065, 20530520, 999, GNR 2023-102
3617FHN34, CO5810C, 45506.00, T, GNR 2023-102
36179XVG8, MA8715M, 1307430.00, 1, GNR 2023-103
36179XZ82, MA8867M, 4352849.00, 1, GNR 2023-103
36179X4V5, MA8936M, 3913711.00, 1, GNR 2023-103
36179YAE4, MA9005M, 990279.00, 1, GNR 2023-103
3618B5M58, CT0380C, 284560.00, 2, GNR 2023-103
3618B5M66, CT0381C, 320003.00, 2, GNR 2023-103
3618B5ND0, CT0388C, 164627.00, 2, GNR 2023-103
3618B75M6, CT2652C, 308098.00, 2, GNR 2023-103
3618B75N4, CT2653C, 493865.00, 2, GNR 2023-103
3618B75P9, CT2654C, 347127.00, 2, GNR 2023-103
3618BCGP6, CT6506C, 755205.00, 2, GNR 2023-103
3618BCGQ4, CT6507C, 919260.00, 2, GNR 2023-103
3618BCGT8, CT6510C, 826399.00, 2, GNR 2023-103
3618BCG43, CT6519C, 1018402.00, 2, GNR 2023-103
