36179XX84, MA8803M, 200580402.00, 1, GNR 2023-064
36179X2J4, MA8877M, 52702033.00, 2, GNR 2023-064
3617QVYD7, BZ1608C, 505157.00, 3A, GNR 2023-064
3618AKQE3, CR4953C, 347159.00, 3A, GNR 2023-064
3618AM6N1, CR7177C, 190418.00, 3A, GNR 2023-064
3618AVEV4, CS2848C, 194206.00, 3A, GNR 2023-064
3618AWHJ6, CS3833C, 185399.00, 3A, GNR 2023-064
3618AWH64, CS3853C, 1046751.00, 3A, GNR 2023-064
3618AWH72, CS3854C, 2288972.00, 3A, GNR 2023-064
3618AWPR9, CS4032C, 246453.00, 3A, GNR 2023-064
3618AXWH1, CS5148C, 182826.00, 3A, GNR 2023-064
3618AYTM2, CS5956C, 191953.00, 3A, GNR 2023-064
3618AYTP5, CS5958C, 480532.00, 3A, GNR 2023-064
3618B0VP5, CS6922C, 359029.00, 3A, GNR 2023-064
3618B0WR0, CS6956C, 282878.00, 3A, GNR 2023-064
3618B0WS8, CS6957C, 425262.00, 3A, GNR 2023-064
3618B0WT6, CS6958C, 245311.00, 3A, GNR 2023-064
3618B0XK4, CS6982C, 314314.00, 3A, GNR 2023-064
3618B1RA1, CS7681C, 860541.00, 3A, GNR 2023-064
3618B1SR3, CS7728C, 860592.00, 3A, GNR 2023-064
3618B1SS1, CS7729C, 876123.00, 3A, GNR 2023-064
3618B1U82, CS7807C, 14530821.00, 3A, GNR 2023-064
3618B1U90, CS7808C, 3115526.00, 3A, GNR 2023-064
3618B2PV5, CS8536C, 1179931.00, 3A, GNR 2023-064
3618B25Q8, CS8955C, 268454.00, 3A, GNR 2023-064
3618B3L62, CS9349C, 1060597.00, 3A, GNR 2023-064
3618B37D3, CS9892C, 205365.00, 3A, GNR 2023-064
3618B4A96, CS9932C, 232605.00, 3A, GNR 2023-064
3618B6HP8, CT1138C, 1279569.00, 3A, GNR 2023-064
3618B6HU7, CT1143C, 1270998.00, 3A, GNR 2023-064
3618B8D78, CT2826C, 293473.00, 3A, GNR 2023-064
3618B8EA0, CT2829C, 207342.00, 3A, GNR 2023-064
3618B9GX6, CT3814C, 222215.00, 3A, GNR 2023-064
3618B9H72, CT3854C, 451170.00, 3A, GNR 2023-064
3618B9H80, CT3855C, 257963.00, 3A, GNR 2023-064
3618B9ML5, CT3963C, 179117.00, 3A, GNR 2023-064
3618B9MM3, CT3964C, 201459.00, 3A, GNR 2023-064
3618B9MZ4, CT3976C, 1045435.00, 3A, GNR 2023-064
3618B9NL4, CT3995C, 1527594.00, 3A, GNR 2023-064
3618B95L4, CT4451C, 1006939.00, 3A, GNR 2023-064
3618B95M2, CT4452C, 1400426.00, 3A, GNR 2023-064
3618B95N0, CT4453C, 1323849.00, 3A, GNR 2023-064
3618B95P5, CT4454C, 2289688.00, 3A, GNR 2023-064
3618B95Q3, CT4455C, 1484601.00, 3A, GNR 2023-064
3618B95R1, CT4456C, 1150447.00, 3A, GNR 2023-064
3618B95S9, CT4457C, 1049549.00, 3A, GNR 2023-064
3618BAK59, CT4816C, 194591.00, 3A, GNR 2023-064
3618BAK67, CT4817C, 240975.00, 3A, GNR 2023-064
3618BAXG1, CT5179C, 182515.00, 3A, GNR 2023-064
3618BBQC6, CT5851C, 186041.00, 3A, GNR 2023-064
3618BBQD4, CT5852C, 221405.00, 3A, GNR 2023-064
3618BCGL5, CT6503C, 2219334.00, 3A, GNR 2023-064
3618BCLC9, CT6623C, 175727.00, 3A, GNR 2023-064
3618BDA54, CT7228C, 1433235.00, 3A, GNR 2023-064
3618BDA70, CT7230C, 1807865.00, 3A, GNR 2023-064
3618BDA88, CT7231C, 1242776.00, 3A, GNR 2023-064
