3618HYMR1, DD5768C, 1219927.00, 14, GNR 2024-142
3618HYMS9, DD5769C, 25000.00, 14, GNR 2024-142
3618HYU84, DD6007C, 25000.00, 14, GNR 2024-142
3618J1D42, DD7323C, 2213198.00, 14, GNR 2024-142
3618J1FJ7, DD7369C, 1200817.00, 14, GNR 2024-142
3618J2E80, DD8259C, 25000.00, 14, GNR 2024-142
3618J3N88, DD9415C, 25000.00, 14, GNR 2024-142
3618J66M9, DE1776C, 6355878.00, 14, GNR 2024-142
3618J6W65, DE1569C, 5700384.00, 14, GNR 2024-142
3618J7BL3, DE1843C, 1725638.00, 14, GNR 2024-142
3618J9R99, DE4112C, 3714413.00, 14, GNR 2024-142
3618JAH22, DE4749C, 2104951.00, 14, GNR 2024-142
3618JALG6, DE4827C, 499561.00, 14, GNR 2024-142
3618JCPG8, DE6723C, 25000.00, 14, GNR 2024-142
3618JEMB8, DE8454C, 2607717.00, 14, GNR 2024-142
3618JEMC6, DE8455C, 2130933.00, 14, GNR 2024-142
3618JEMD4, DE8456C, 1495978.00, 14, GNR 2024-142
3618JKA35, DF1826C, 1164027.00, 14, GNR 2024-142
36179YHU1, MA9243M, 309868101.00, 15, GNR 2024-142
36179YHU1, MA9243M, 116127854.00, 16, GNR 2024-142
36180AAD5, MA9904M, 50000.00, T, GNR 2024-142
3618GQHR5, DA1140C, 1397884.00, 1, GNR 2024-143
3618GQH95, DA1156C, 950098.00, 1, GNR 2024-143
3618GQ6Z9, DA1788C, 1019411.00, 1, GNR 2024-143
3618H8VJ6, DB6017C, 1088223.00, 1, GNR 2024-143
3618H8ZX1, DB6158C, 1263805.00, 1, GNR 2024-143
3618HAJM8, DB7468C, 6518574.00, 1, GNR 2024-143
3618HALE3, DB7525C, 5663220.00, 1, GNR 2024-143
3618HALQ6, DB7535C, 8374680.00, 1, GNR 2024-143
3618HALU7, DB7539C, 9307960.00, 1, GNR 2024-143
3618HAP74, DB7646C, 6476983.00, 1, GNR 2024-143
3618HAVY8, DB7831C, 1009394.00, 1, GNR 2024-143
3618HA6B6, DB8066C, 1051186.00, 1, GNR 2024-143
3618HA6H3, DB8072C, 9899349.00, 1, GNR 2024-143
3618HEJA6, DC0257C, 938161.00, 1, GNR 2024-143
3618HEJC2, DC0259C, 5318927.00, 1, GNR 2024-143
3618HGMB5, DC2154C, 1360415.00, 1, GNR 2024-143
3618HJRK4, DC4090C, 942967.00, 1, GNR 2024-143
3618HJR32, DC4106C, 1059836.00, 1, GNR 2024-143
3618HMBK4, DC6342C, 1128337.00, 1, GNR 2024-143
3618HMHN2, DC6537C, 4597971.00, 1, GNR 2024-143
3618HMPA1, DC6717C, 3300579.00, 1, GNR 2024-143
3618HMPD5, DC6720C, 1468125.00, 1, GNR 2024-143
3618HNKF3, DC7494C, 944766.00, 1, GNR 2024-143
3618HPGV8, DC8312C, 1396393.00, 1, GNR 2024-143
3618HPGX4, DC8314C, 1363334.00, 1, GNR 2024-143
3618HQPU8, DC9435C, 1220147.00, 1, GNR 2024-143
3618HQ5C0, DC9843C, 3296594.00, 1, GNR 2024-143
3618HQ5D8, DC9844C, 6349436.00, 1, GNR 2024-143
3618HQ5E6, DC9845C, 6313541.00, 1, GNR 2024-143
3618HRC97, DC9996C, 1013485.00, 1, GNR 2024-143
3618HSAY2, DD0023C, 1342797.00, 1, GNR 2024-143
3618HSEV4, DD0148C, 1390258.00, 1, GNR 2024-143
3618HSEW2, DD0149C, 2422017.00, 1, GNR 2024-143
3618HSEY8, DD0151C, 1346632.00, 1, GNR 2024-143
3618HSE36, DD0154C, 1598835.00, 1, GNR 2024-143
3618HSLW4, DD0341C, 945089.00, 1, GNR 2024-143
3618HSSY3, DD0535C, 2619675.00, 1, GNR 2024-143
3618HSS23, DD0537C, 1079502.00, 1, GNR 2024-143
3618HST89, DD0575C, 1749842.00, 1, GNR 2024-143
3618HUEM9, DD1940C, 3809177.00, 1, GNR 2024-143
3618HVE62, DD2857C, 942980.00, 1, GNR 2024-143
3618HXJH9, DD4764C, 4585380.00, 1, GNR 2024-143
3618J0P66, DD6745C, 1064281.00, 1, GNR 2024-143
3618J2HL8, DD8335C, 2592069.00, 1, GNR 2024-143
3618J6LF7, DE1226C, 2033611.00, 1, GNR 2024-143
3622ADBR8, 787348C, 5000000.00, 2, GNR 2024-143
3618H72C5, DB5271C, 5227683.00, 2, GNR 2024-143
3618H72D3, DB5272C, 3893762.00, 2, GNR 2024-143
3618H72E1, DB5273C, 5745609.00, 2, GNR 2024-143
3618H8BC3, DB5435C, 1247963.00, 2, GNR 2024-143
3618HHEU0, DC2847C, 3743255.00, 2, GNR 2024-143
3618HL2N0, DC6181C, 1057033.00, 2, GNR 2024-143
3618HL4U2, DC6235C, 4659363.00, 2, GNR 2024-143
3618HN5G8, DC8047C, 1715279.00, 2, GNR 2024-143
3618HSTH9, DD0552C, 8392670.00, 2, GNR 2024-143
3618HSVU7, DD0627C, 10199099.00, 2, GNR 2024-143
3618HSW93, DD0672C, 10244028.00, 2, GNR 2024-143
3618J0KS3, DD6605C, 1649071.00, 2, GNR 2024-143
3618J0QA6, DD6749C, 1653287.00, 2, GNR 2024-143
3618J0UJ2, DD6885C, 4348945.00, 2, GNR 2024-143
3618J0UL7, DD6887C, 9291419.00, 2, GNR 2024-143
3618J2RU7, DD8599C, 16201741.00, 2, GNR 2024-143
3618J2RV5, DD8600C, 3374511.00, 2, GNR 2024-143
3618J2RW3, DD8601C, 3184209.00, 2, GNR 2024-143
3618J2S69, DD8641C, 14735165.00, 2, GNR 2024-143
3618J2S77, DD8642C, 4004805.00, 2, GNR 2024-143
3618J2S85, DD8643C, 2878582.00, 2, GNR 2024-143
3618J2WS6, DD8757C, 2921539.00, 2, GNR 2024-143
3618J2WW7, DD8761C, 2364055.00, 2, GNR 2024-143
3618J6KG6, DE1195C, 2901562.00, 2, GNR 2024-143
3618J9W85, DE4271C, 1008826.00, 2, GNR 2024-143
3618J9XB7, DE4274C, 2774845.00, 2, GNR 2024-143
3618H2A37, DB0026C, 4791810.00, 3, GNR 2024-143
3618H5R81, DB3211C, 5094606.00, 3, GNR 2024-143
3618HCX89, DB9703C, 1327092.00, 3, GNR 2024-143
3618HHS27, DC3237C, 2739267.00, 3, GNR 2024-143
3618HHS35, DC3238C, 2493158.00, 3, GNR 2024-143
36179YYY4, MA9727M, 500000.00, 3, GNR 2024-143
38378FVC1, GN-2013-014-IO, 43700000.00, 4, GNR 2024-143
38378FXG0, GN-2013-028-IO, 56409531.00, 4, GNR 2024-143
38378MRH0, GN-2013-054-JI, 87523571.00, 4, GNR 2024-143
38379QKP9, GN-2015-131-CI, 60107142.00, 4, GNR 2024-143
38379QMX0, GN-2015-131-MI, 95733000.00, 4, GNR 2024-143
38379FY60, GN-2015-168-IG, 69201608.00, 4, GNR 2024-143
38379YFD5, GN-2016-075-EI, 158935000.00, 4, GNR 2024-143
38380K2D6, GN-2018-021-AI, 21645949.00, 4, GNR 2024-143
