3618APM89, CR8483C, 63711.00, 17D, GNR 2023-053
3618AQLL9, CR9331C, 87674.00, 17D, GNR 2023-053
3618AQLM7, CR9332C, 76742.00, 17D, GNR 2023-053
3618AQUH8, CR9584C, 59627.00, 17D, GNR 2023-053
3618ASE41, CS0155C, 365720.00, 17D, GNR 2023-053
3618ASFT5, CS0178C, 271803.00, 17D, GNR 2023-053
3618ASGV9, CS0212C, 229772.00, 17D, GNR 2023-053
3618ASJC8, CS0259C, 368040.00, 17D, GNR 2023-053
3618ASLP6, CS0334C, 75574.00, 17D, GNR 2023-053
3618ASMN0, CS0365C, 52210.00, 17D, GNR 2023-053
3618ATWD9, CS1544C, 52877.00, 17D, GNR 2023-053
3618AUGS1, CS2009C, 74489.00, 17D, GNR 2023-053
3618AVUR5, CS3292C, 104404.00, 17D, GNR 2023-053
3618AV7K6, CS3598C, 187167.00, 17D, GNR 2023-053
3618AV7L4, CS3599C, 206588.00, 17D, GNR 2023-053
3618AWAA2, CS3601C, 205556.00, 17D, GNR 2023-053
3618AWAB0, CS3602C, 251494.00, 17D, GNR 2023-053
3618AWHD9, CS3828C, 53414.00, 17D, GNR 2023-053
3618AXAY8, CS4523C, 60511.00, 17D, GNR 2023-053
3618AXA28, CS4525C, 97254.00, 17D, GNR 2023-053
3618AXUC4, CS5079C, 50468.00, 17D, GNR 2023-053
3618AXUF7, CS5082C, 119501.00, 17D, GNR 2023-053
3618AXWB4, CS5142C, 58666.00, 17D, GNR 2023-053
3618AYL65, CS5749C, 391910.00, 17D, GNR 2023-053
3618AYMT4, CS5770C, 472483.00, 17D, GNR 2023-053
3618AYVQ0, CS6023C, 45823.00, 17D, GNR 2023-053
3618AYVR8, CS6024C, 60306.00, 17D, GNR 2023-053
3618AYVT4, CS6026C, 76025.00, 17D, GNR 2023-053
3618AYXF2, CS6078C, 60236.00, 17D, GNR 2023-053
3618AYX39, CS6098C, 51883.00, 17D, GNR 2023-053
3618B0AD5, CS6304C, 45940.00, 17D, GNR 2023-053
3618B0AH6, CS6308C, 108465.00, 17D, GNR 2023-053
3618B0BC6, CS6335C, 131676.00, 17D, GNR 2023-053
3618B0DF7, CS6402C, 54825.00, 17D, GNR 2023-053
3618B0KM4, CS6600C, 74363.00, 17D, GNR 2023-053
3618B0KZ5, CS6612C, 90866.00, 17D, GNR 2023-053
3618B0RS4, CS6797C, 109020.00, 17D, GNR 2023-053
3618B0X81, CS7003C, 87467.00, 17D, GNR 2023-053
3618B0YY3, CS7027C, 119807.00, 17D, GNR 2023-053
3618B06T5, CS7182C, 71749.00, 17D, GNR 2023-053
3618B07A5, CS7189C, 52141.00, 17D, GNR 2023-053
3618B1AR2, CS7216C, 79596.00, 17D, GNR 2023-053
3618B1AS0, CS7217C, 202023.00, 17D, GNR 2023-053
3618B1F71, CS7390C, 49345.00, 17D, GNR 2023-053
3618B1MH1, CS7560C, 556508.00, 17D, GNR 2023-053
3618B1NW7, CS7605C, 228984.00, 17D, GNR 2023-053
