3618G9CR8, CY9080C, 2281.00, 7, GNR 2024-095
3618H9MN5, DB6665C, 80354.00, 7, GNR 2024-095
3618HB5L3, DB8951C, 168714.00, 7, GNR 2024-095
3618H7FW7, DB4681C, 113642.00, 7, GNR 2024-095
3618HB6H1, DB8972C, 130651.00, 7, GNR 2024-095
3618GSA56, DA2728C, 1273.00, 7, GNR 2024-095
3618HBZ30, DB8862C, 975009.00, 7, GNR 2024-095
3618H7G97, DB4724C, 112046.00, 7, GNR 2024-095
3618GP5Y5, DA0863C, 1165079.00, 7, GNR 2024-095
3618GGFD0, CZ4664C, 1691.00, 7, GNR 2024-095
3618H6E42, DB3755C, 120958.00, 7, GNR 2024-095
3618GQ6J5, DA1773C, 1379107.00, 7, GNR 2024-095
3618GP5W9, DA0861C, 1840525.00, 7, GNR 2024-095
3618G4VY3, CY5131C, 1612.00, 7, GNR 2024-095
3618H6EV2, DB3748C, 1176584.00, 7, GNR 2024-095
3618H6YD0, DB4308C, 2855246.00, 7, GNR 2024-095
3618G9BW8, CY9053C, 3216.00, 7, GNR 2024-095
3618GQ5R8, DA1756C, 92552.00, 7, GNR 2024-095
3618HMB40, DC6359C, 1151941.00, 7, GNR 2024-095
3618GEDD7, CZ2800C, 1626.00, 7, GNR 2024-095
3618H2U43, DB0603C, 1045011.00, 7, GNR 2024-095
3618H8ZE3, DB6141C, 1521536.00, 7, GNR 2024-095
3618H7FY3, DB4683C, 87994.00, 7, GNR 2024-095
3618GEXL7, CZ3383C, 175698.00, 7, GNR 2024-095
3618FW7C7, CX9891C, 97853.00, 7, GNR 2024-095
3618HBU92, DB8708C, 2765471.00, 7, GNR 2024-095
3618GP3Z4, DA0816C, 3434259.00, 7, GNR 2024-095
3618FSBE7, CX5437C, 79347.00, 7, GNR 2024-095
3618HBU84, DB8707C, 1704159.00, 7, GNR 2024-095
3618H4WZ8, DB2464C, 79886.00, 7, GNR 2024-095
3618GEXM5, CZ3384C, 199044.00, 7, GNR 2024-095
3618H4W47, DB2467C, 131355.00, 7, GNR 2024-095
3618GQB26, DA0957C, 3731533.00, 7, GNR 2024-095
3618H7FX5, DB4682C, 117946.00, 7, GNR 2024-095
3618HB2M4, DB8880C, 502277.00, 7, GNR 2024-095
3618H7HS4, DB4741C, 86487.00, 7, GNR 2024-095
3618G4XK1, CY5182C, 1643.00, 7, GNR 2024-095
3618H4GV5, DB2012C, 149712.00, 7, GNR 2024-095
3618H4W39, DB2466C, 92152.00, 7, GNR 2024-095
3618HB5K5, DB8950C, 164732.00, 7, GNR 2024-095
3618GV4C1, DA6219C, 282666.00, 7, GNR 2024-095
3618H2UZ4, DB0600C, 1064716.00, 7, GNR 2024-095
3618HB7E7, DB8993C, 2501395.00, 7, GNR 2024-095
3618G9CS6, CY9081C, 2025.00, 7, GNR 2024-095
3618GQ6K2, DA1774C, 1339996.00, 7, GNR 2024-095
3618GXKV7, DA7508C, 84053.00, 7, GNR 2024-095
3618GP5U3, DA0859C, 1108537.00, 7, GNR 2024-095
3618GRU80, DA2407C, 161554.00, 7, GNR 2024-095
3618HBZ55, DB8864C, 413479.00, 7, GNR 2024-095
3618GCP71, CZ1346C, 2083365.00, 7, GNR 2024-095
3618HEFF9, DC0166C, 227638.00, 7, GNR 2024-095
3618H2UJ0, DB0585C, 92330.00, 7, GNR 2024-095
3618H2UL5, DB0587C, 112730.00, 7, GNR 2024-095
3618H4WX3, DB2462C, 79596.00, 7, GNR 2024-095
3618G9CK3, CY9074C, 1514.00, 7, GNR 2024-095
3618GP5G4, DA0847C, 1075446.00, 7, GNR 2024-095
3618GPYK3, DA0714C, 83993.00, 7, GNR 2024-095
3618H1C60, DA9993C, 212922.00, 7, GNR 2024-095
3618GXK39, DA7514C, 91235.00, 7, GNR 2024-095
3618H1DB8, DA9998C, 378441.00, 7, GNR 2024-095
3618GXNU6, DA7603C, 175788.00, 7, GNR 2024-095
3618HB2N2, DB8881C, 228066.00, 7, GNR 2024-095
3618GQCT6, DA0982C, 1725701.00, 7, GNR 2024-095
3618GQCH2, DA0972C, 1075730.00, 7, GNR 2024-095
3618GFM44, CZ3979C, 5254366.00, 7, GNR 2024-095
3618GCSC7, CZ1415C, 1810515.00, 7, GNR 2024-095
3618GQCS8, DA0981C, 2044354.00, 7, GNR 2024-095
3618GCSM5, CZ1424C, 2300252.00, 7, GNR 2024-095
3618FPS70, CX3242C, 95453.00, 7, GNR 2024-095
3618HLX22, DC6097C, 1370881.00, 7, GNR 2024-095
3618FY5Z4, CY0864C, 724886.00, 7, GNR 2024-095
36179YRL0, MA9491M, 16252532.00, 8, GNR 2024-095
36179YKV5, MA9308M, 9692031.00, 8, GNR 2024-095
36179YHV9, MA9244M, 27421800.00, 8, GNR 2024-095
36179YKV5, MA9308M, 22316896.00, 8, GNR 2024-095
36179YPK4, MA9426M, 27842384.00, 8, GNR 2024-095
3618FPDK7, CX2806C, 714534.00, 9, GNR 2024-095
3618A9HK4, CQ6534C, 3132035.00, 9, GNR 2024-095
