3618H5A71, DB2730C, 7517600.00, 6, GNR 2024-077
3618H5EX0, DB2850C, 1094856.00, 6, GNR 2024-077
3618H7F31, DB4686C, 1446775.00, 6, GNR 2024-077
3618H9MR6, DB6668C, 2528541.00, 6, GNR 2024-077
3618H92E7, DB7073C, 1457356.00, 6, GNR 2024-077
3618H95R5, DB7156C, 1312176.00, 6, GNR 2024-077
3622AC7H7, 787296C, 57105238.00, 7, GNR 2024-077
3618FCJD6, CW3860C, 1549165.00, 7, GNR 2024-077
3618FEGN3, CW5605C, 1000743.00, 7, GNR 2024-077
3618FRW89, CX5171C, 2405993.00, 7, GNR 2024-077
3618FRW97, CX5172C, 1154750.00, 7, GNR 2024-077
3618FSH43, CX5651C, 1509262.00, 7, GNR 2024-077
3618FWX46, CX9699C, 3111545.00, 7, GNR 2024-077
3618FYAW5, CY0021C, 1204750.00, 7, GNR 2024-077
3618FY3A1, CY0793C, 1307110.00, 7, GNR 2024-077
3618G2KT0, CY3006C, 1039484.00, 7, GNR 2024-077
3618G3GE6, CY3797C, 1302622.00, 7, GNR 2024-077
3618G3GP1, CY3806C, 1163127.00, 7, GNR 2024-077
3618G5C88, CY5495C, 1031087.00, 7, GNR 2024-077
3618G8AD3, CY8104C, 1275498.00, 7, GNR 2024-077
3618G8EH0, CY8236C, 1757663.00, 7, GNR 2024-077
3618GBL69, CZ0349C, 1636738.00, 7, GNR 2024-077
3618GC5Z1, CZ1764C, 1318269.00, 7, GNR 2024-077
3618GC6A5, CZ1765C, 1018491.00, 7, GNR 2024-077
3618GDEW6, CZ1949C, 1628191.00, 7, GNR 2024-077
3618GEAN8, CZ2713C, 3928816.00, 7, GNR 2024-077
3618GEXK9, CZ3382C, 4875589.00, 7, GNR 2024-077
3618GFLG8, CZ3927C, 3269751.00, 7, GNR 2024-077
3618GFLS2, CZ3937C, 1381116.00, 7, GNR 2024-077
3618GGZA4, CZ5237C, 4294328.00, 7, GNR 2024-077
3618GGZB2, CZ5238C, 2112532.00, 7, GNR 2024-077
3618GGZ55, CZ5264C, 5559599.00, 7, GNR 2024-077
3618GHFG1, CZ5567C, 3373231.00, 7, GNR 2024-077
3618GHH79, CZ5654C, 3400929.00, 7, GNR 2024-077
3618GHSQ5, CZ5927C, 2210076.00, 7, GNR 2024-077
3618GHSU6, CZ5931C, 1116563.00, 7, GNR 2024-077
3618GKJ88, CZ7487C, 1115147.00, 7, GNR 2024-077
3618GKLG7, CZ7527C, 1167267.00, 7, GNR 2024-077
3618GKND2, CZ7588C, 1556030.00, 7, GNR 2024-077
3618GLHD7, CZ8328C, 1148076.00, 7, GNR 2024-077
3618GMGT1, CZ9210C, 1464301.00, 7, GNR 2024-077
3618GMGU8, CZ9211C, 1981098.00, 7, GNR 2024-077
3618GMGV6, CZ9212C, 4481754.00, 7, GNR 2024-077
3618GMGW4, CZ9213C, 2518111.00, 7, GNR 2024-077
3618GMZM5, CZ9748C, 2814932.00, 7, GNR 2024-077
3618GMZN3, CZ9749C, 3207293.00, 7, GNR 2024-077
3618GM3R9, CZ9808C, 1147045.00, 7, GNR 2024-077
3618GP3V3, DA0812C, 2599114.00, 7, GNR 2024-077
3618GQS44, DA1439C, 1849048.00, 7, GNR 2024-077
3618GRLD9, DA2124C, 2390708.00, 7, GNR 2024-077
3618GRME6, DA2157C, 1905444.00, 7, GNR 2024-077
3618GRMM8, DA2164C, 2910644.00, 7, GNR 2024-077
3618GVGK0, DA5602C, 1019203.00, 7, GNR 2024-077
3618GVZQ6, DA6151C, 2914697.00, 7, GNR 2024-077
3618GVZT0, DA6154C, 2369002.00, 7, GNR 2024-077
3618GWGD4, DA6496C, 1968049.00, 7, GNR 2024-077
3618GWL71, DA6650C, 1059502.00, 7, GNR 2024-077
3618GWRX8, DA6802C, 1002709.00, 7, GNR 2024-077
3618H0YT8, DA9722C, 1298134.00, 7, GNR 2024-077
3618H0YX9, DA9726C, 1561487.00, 7, GNR 2024-077
3618H0YZ4, DA9728C, 1201019.00, 7, GNR 2024-077
3618H1C37, DA9990C, 2097729.00, 7, GNR 2024-077
3618H1C45, DA9991C, 2495214.00, 7, GNR 2024-077
3618H1DC6, DA9999C, 3374743.00, 7, GNR 2024-077
3618H2AZ6, DB0024C, 3078623.00, 7, GNR 2024-077
3618H47L7, DB2699C, 1794153.00, 7, GNR 2024-077
3618H5AX4, DB2722C, 1166348.00, 7, GNR 2024-077
3618H5AY2, DB2723C, 1230168.00, 7, GNR 2024-077
3618H52Z8, DB3492C, 1657990.00, 7, GNR 2024-077
3618H7JP8, DB4770C, 1571950.00, 7, GNR 2024-077
3618H7MA7, DB4853C, 1458678.00, 7, GNR 2024-077
3618H7MG4, DB4859C, 1026785.00, 7, GNR 2024-077
3618H7UB6, DB5078C, 1406022.00, 7, GNR 2024-077
3618H8W55, DB6068C, 1817602.00, 7, GNR 2024-077
3618H9MQ8, DB6667C, 1300120.00, 7, GNR 2024-077
3618H95G9, DB7147C, 1280168.00, 7, GNR 2024-077
3618HB6E8, DB8969C, 1281065.00, 7, GNR 2024-077
3618HB6R9, DB8980C, 2128189.00, 7, GNR 2024-077
3618HCYE5, DB9709C, 1156394.00, 7, GNR 2024-077
3618HCYL9, DB9715C, 1707983.00, 7, GNR 2024-077
3618HHTU4, DC3263C, 2341530.00, 7, GNR 2024-077
3622AC2K5, 787178C, 23722294.00, 8, GNR 2024-077
3622AC2L3, 787179C, 9074284.00, 8, GNR 2024-077
3622AC2M1, 787180C, 13237981.00, 8, GNR 2024-077
3618F97B0, CW1790C, 416935.00, 8, GNR 2024-077
3618F97C8, CW1791C, 1230347.00, 8, GNR 2024-077
3618F97J3, CW1797C, 469075.00, 8, GNR 2024-077
3618F97K0, CW1798C, 507536.00, 8, GNR 2024-077
3618FAAH0, CW1808C, 712890.00, 8, GNR 2024-077
3618FAAJ6, CW1809C, 506904.00, 8, GNR 2024-077
3618FEGP8, CW5606C, 417896.00, 8, GNR 2024-077
3618FEWW5, CW6061C, 740939.00, 8, GNR 2024-077
3618FHE73, CW8258C, 462237.00, 8, GNR 2024-077
3618FPB86, CX2763C, 413231.00, 8, GNR 2024-077
3618FPB94, CX2764C, 727356.00, 8, GNR 2024-077
3618FT5Y8, CX7163C, 1660694.00, 8, GNR 2024-077
3618FXA80, CX9931C, 809082.00, 8, GNR 2024-077
3618G0WH7, CY1548C, 4669636.00, 8, GNR 2024-077
3618G0WJ3, CY1549C, 5322865.00, 8, GNR 2024-077
3618G0WK0, CY1550C, 4011809.00, 8, GNR 2024-077
3618G1E69, CY1957C, 1117605.00, 8, GNR 2024-077
3618G23M4, CY3504C, 1046070.00, 8, GNR 2024-077
3618G23N2, CY3505C, 1651474.00, 8, GNR 2024-077
3618G23R3, CY3508C, 1299629.00, 8, GNR 2024-077
3618G23S1, CY3509C, 917102.00, 8, GNR 2024-077
3618G3GF3, CY3798C, 699666.00, 8, GNR 2024-077
3618G3GX4, CY3814C, 461115.00, 8, GNR 2024-077
3618G3GY2, CY3815C, 625843.00, 8, GNR 2024-077
3618G4EX4, CY4650C, 415321.00, 8, GNR 2024-077
3618G5GE1, CY5597C, 3264887.00, 8, GNR 2024-077
3618G5GK7, CY5602C, 1581446.00, 8, GNR 2024-077
3618G5L54, CY5748C, 491115.00, 8, GNR 2024-077
3618G5MF1, CY5758C, 3865601.00, 8, GNR 2024-077
3618G54R5, CY6232C, 448320.00, 8, GNR 2024-077
3618G6PS8, CY6733C, 2103348.00, 8, GNR 2024-077
3618G6PU3, CY6735C, 967818.00, 8, GNR 2024-077
3618G6PX7, CY6738C, 701086.00, 8, GNR 2024-077
3618G7LH4, CY7528C, 441486.00, 8, GNR 2024-077
3618G7M83, CY7583C, 623899.00, 8, GNR 2024-077
3618G8E49, CY8255C, 447259.00, 8, GNR 2024-077
3618G8SP7, CY8626C, 1833593.00, 8, GNR 2024-077
3618G9QD4, CY9452C, 2171906.00, 8, GNR 2024-077
3618GBJJ4, CZ0265C, 483261.00, 8, GNR 2024-077
3618GBK52, CZ0316C, 627745.00, 8, GNR 2024-077
3618GBYB4, CZ0706C, 1384500.00, 8, GNR 2024-077
3618GBYC2, CZ0707C, 817160.00, 8, GNR 2024-077
3618GC6B3, CZ1766C, 3126012.00, 8, GNR 2024-077
3618GC6C1, CZ1767C, 475613.00, 8, GNR 2024-077
3618GC6R8, CZ1780C, 771218.00, 8, GNR 2024-077
3618GC6S6, CZ1781C, 541634.00, 8, GNR 2024-077
3618GEUX4, CZ3298C, 5253814.00, 8, GNR 2024-077
